Part ID,Value,Package,Stock Code
J1,EXP1,MYCONSIL-40,
J2,EXP2,MYCONSIL-40,
J3,EXP3,MYCONSIL-40,
J4,EXP4,MYCONSIL-40,
J5,EXP5,MYCONSIL-40,
J6,EXP6,MYCONSIL-40,
J7,EXP7,MYCONSIL-40,
J8,EXP8,MYCONSIL-40,
R1,1k,RES40,
PR1,SW1,BUTTON,
C2,100nF,CAP10,
C3,100nF,CAP10,
C4,220uF,ELEC-RAD10,
C5,47uF,ELEC-RAD10,
D1,1N5400,DO201AD,
J9,TBLOCK-I2-DSP,BORNIER 2,
U1,7805,P1,
D2,LED,LED-BLUE,
D3,LED,LED-RED,
R3,1K,RES40,
R4,220,RES40,
J10,TBLOCK-I2-DSP,BORNIER 2,
J11,POWER JACK DC2,JACKDC2,
CDEC1,100nF,CAP10,
CDEC2,100nF,CAP10,
CDEC3,100nF,CAP10,
CDEC4,100nF,CAP10,
CDEC5,100nF,CAP10,
CDEC6,100nF,CAP10,
CDEC7,100nF,CAP10,
CDEC8,100nF,CAP10,
CLK CON2,66226-008,CON8_1X8_U_FCI,Digikey 66226-008-ND
CLOCK DIVIDER,74LS393,DIL14,
CRYO1,CRYSTAL OSCILLATOR 2,DSP OSCILLATOR,
CLK_OUT_16,SIL-100-02,SIL-100-02,
DECAP3,100nF,CAP10,
JP_CLK16,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
DECAP1,100nF,CAP10,
CLK CON,66226-008,CON8_1X8_U_FCI,Digikey 66226-008-ND
J_CLKSELECT,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
D4,LED,LED-GREEN,
R5,220,RES40,
C6,0.47uF,ELEC-RAD10,
C7,33uF,ELEC-RAD10,
U2,LM3940,P1,
J12,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
J13,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
J14,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
J15,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
EX1,MYCON-06,MYCONSIL-6,
EX2,MYCON-06,MYCONSIL-6,
EX3,MYCON-06,MYCONSIL-6,
EX4,MYCON-06,MYCONSIL-6,
EX5,MYCON-06,MYCONSIL-6,
EX6,MYCON-06,MYCONSIL-6,
EX7,MYCON-06,MYCONSIL-6,
EX8,MYCON-06,MYCONSIL-6,
EX9,MYCON-06,MYCONSIL-6,
EX10,MYCON-06,MYCONSIL-6,
J16,EXP8,MYCONSIL-40,
J17,EXP8,MYCONSIL-40,
CDEC9,100nF,CAP10,
CDEC10,100nF,CAP10,
D5,LED,LED VERTE 03,
Q1,BC546BP,ELINE,
R6,1k,RES40,
R7,4K7,RES40,
R8,220,RES40,
J18,66226-002,CON2_1X2_U_FCI,Digikey 66226-002-ND
CDEC11,100nF,CAP10,
CDEC12,100nF,CAP10,
CDEC13,100nF,CAP10,
CDEC14,100nF,CAP10,
CDEC15,100nF,CAP10,
CDEC16,100nF,CAP10,
CDEC17,100nF,CAP10,
CDEC18,100nF,CAP10,
CDEC19,100nF,CAP10,
CDEC20,100nF,CAP10,
J19,TBLOCK-I2-DSP,BORNIER 2,
JP20,CONN-SIL2,CONN-SIL2,
J21,SIL-100-02,SIL-100-02,
J22,SIL-100-02,SIL-100-02,
C9,100n,CAP20,Maplin YR75S
C8,100n,CAP20,Maplin YR75S
